Unnamed: 0,age,upgraded,gender,category,score1,score2,score3,pred_cluster
3127,43,1,1,2,2.60201767659,2.46381919746,-2.20517759592,2
3162,40,1,1,2,4.09736600566,1.31383118939,-0.237791144187,2
3163,41,1,1,2,4.05032093335,1.31372366829,-0.300192784739,2
3164,41,1,1,2,4.04254499402,1.31372366829,-0.31185099126,2
3165,42,1,1,2,3.26479926219,1.99558427616,-0.334223096434,2
3166,42,1,1,2,3.87367203267,1.37493003104,-0.51965586249,2
3167,38,1,1,2,4.74819518981,0.890849839392,-0.25954105019,2
3169,39,1,1,2,4.60856063097,0.924258901523,-0.323355325077,2
3170,39,1,1,2,4.58381706994,0.937699911112,-0.333606180088,2
3171,40,1,1,2,4.28723935731,1.16136797149,-0.215398978089,2
3172,43,1,1,2,3.00998656373,2.12180634546,-0.746473443186,2
3173,43,1,1,2,2.83322576986,2.24941635685,-1.18958804288,2
3382,43,0,1,2,3.01695918666,2.25499021419,-1.07626647742,2
3383,43,0,1,2,2.92582452226,2.47799951704,-0.646680882095,2
3573,36,0,1,2,4.72646369868,1.0839046598,-0.0588639374188,2
3581,43,0,1,2,3.31039106813,1.71468042113,-2.0182459469,2
3644,38,1,1,2,4.74197559576,0.890849839392,-0.255226997263,2
3648,38,1,1,2,4.67186760444,0.908702010225,-0.289691423179,2
3650,38,1,1,2,4.63534097506,0.924258901523,-0.311488603162,2
3652,41,1,1,2,4.25970445079,1.04066532871,-0.577294235664,2
3653,42,1,1,2,4.12898221591,1.03953438673,-1.04619522395,2
3654,39,1,1,2,4.48414642161,0.970930420832,-0.287298829899,2
3655,39,1,1,2,4.47290931615,0.970930420832,-0.298418859347,2
3735,40,1,1,2,4.21505821994,1.18074511821,-0.339875977179,2
3736,40,1,1,2,4.19851209073,1.18074511821,-0.36371370658,2
3737,41,1,1,2,4.1717570731,1.18243246809,-0.40769415108,2
3738,40,1,1,2,4.24452614537,1.16155578844,-0.308170793456,2
3739,41,1,1,2,4.12686979172,1.20480246007,-0.442238512366,2
3740,41,1,1,2,4.07357922993,1.21122643304,-0.546397229551,2
3741,42,1,1,2,3.80775354529,1.46260704397,-0.517847625413,2
3742,42,1,1,2,3.52061441318,1.71278840936,-0.575831416725,2
3743,43,1,1,2,3.45133877765,1.71278840936,-0.838577112885,2
3746,36,1,1,2,4.84154233423,0.822814868682,-0.168634871448,2
3747,37,1,1,2,4.83414042896,0.822814868682,-0.173041591972,2
3750,37,1,1,2,4.65446804629,0.911559557498,-0.167126891041,2
3751,37,1,1,2,4.70737414691,0.90215123872,-0.152212140343,2
3752,39,1,1,2,4.40763295293,1.10263750992,-0.181350699429,2
3754,40,1,1,2,4.28359817222,1.15287948994,-0.259802832637,2
3755,40,1,1,2,4.25789707824,1.16155578844,-0.290042604316,2
3756,40,1,1,2,4.17728346179,1.19477059356,-0.36902563932,2
3757,41,1,1,2,4.11382813019,1.20480246007,-0.472953072179,2
3758,41,1,1,2,4.17402866856,1.1081995173,-0.602707882444,2
3759,42,1,1,2,3.81935304482,1.46260704397,-0.485384683113,2
3760,39,1,1,2,4.37242013955,1.12813872793,-0.196823868,2
3761,39,1,1,2,4.30694147159,1.15287948994,-0.236466799174,2
3763,40,1,1,2,4.26883594305,1.15287948994,-0.274577004208,2
3764,40,1,1,2,4.2569405266,1.16155578844,-0.290984819187,2
3765,43,1,1,2,3.18941035769,1.90994242491,-1.24463572817,2
3766,43,1,1,2,3.15151791,1.92925798241,-1.4669112476,2
4023,42,0,1,2,3.52301950857,1.68359874033,-0.728344914676,2
4024,36,0,1,2,4.80692457916,0.914449036995,-0.111068384592,2
4033,43,0,1,2,2.84764856071,2.35008871564,-0.762039464249,2
4231,38,0,1,1,4.55835942593,1.22398129278,-0.199246668648,2
4254,40,1,1,1,4.21384733712,1.43978773356,-0.334189002585,2
4255,40,1,1,1,3.92864204106,1.81958537929,-0.165968004843,2
4256,40,1,1,1,4.2197116936,1.43978773356,-0.3288315178,2
4259,41,1,1,1,3.84155325297,1.84364009111,-0.201991452611,2
4262,40,1,1,1,3.90779939983,1.82374251508,-0.174206196787,2
4264,42,1,1,1,3.62580686214,1.87317047113,-0.438754711201,2
4265,42,1,1,1,3.75357859307,1.72065723173,-0.530869483156,2
4267,41,1,1,1,3.85670450903,1.75870238847,-0.289611835915,2
4268,42,1,1,1,3.49657767719,1.85980745,-0.86516816606,2
4269,43,1,1,1,3.44678060375,1.87954138261,-1.04853263625,2
4270,41,1,1,1,3.88046094532,1.65056066172,-0.434421526274,2
4279,40,1,1,1,4.3889826658,1.22103638975,-0.433074089596,2
4284,38,1,1,1,4.61279459501,1.07329448068,-0.304937329133,2
4285,42,1,1,1,3.43615862653,1.98681899695,-0.61834716164,2
4286,39,1,1,1,4.57015465913,1.10753899348,-0.336707254636,2
4408,40,1,1,2,4.24640364699,1.19809556715,-0.280151720853,2
4409,40,1,1,2,4.1877532446,1.17773149312,-0.445560288697,2
4410,41,1,1,2,4.13521600986,1.18178854319,-0.563236012046,2
4411,42,1,1,2,3.23731868198,2.14813936965,-0.237654980894,2
4412,42,1,1,2,2.96708947869,2.48546482731,-0.119732643908,2
4413,37,1,1,2,4.52541835114,1.15025552182,-0.104039210078,2
4416,38,1,1,2,4.44216754512,1.1618687383,-0.123686554181,2
4417,40,1,1,2,4.21682077549,1.21229805307,-0.312257080824,2
4418,41,1,1,2,4.17836020493,1.17773149312,-0.463377510538,2
4419,41,1,1,2,3.47966449292,1.91247154439,-0.246927453001,2
4420,39,1,1,2,4.41225248798,1.12382509114,-0.183096303633,2
4421,39,1,1,2,4.60058748443,0.924258901523,-0.32595419843,2
